Local Time,Volume
23:00:00,6748.63592057891
00:00:00,7263.05460616157
01:00:00,6006.65159663495
02:00:00,4029.51110202331
03:00:00,4386.70943136639
04:00:00,6232.24833711621
05:00:00,5266.42116031908
06:00:00,6990.13397329959
07:00:00,4971.1416601069
08:00:00,6802.90352963046
09:00:00,6169.8221104079
10:00:00,6477.08824252574
11:00:00,5931.15217607988
12:00:00,7207.83756776146
13:00:00,6411.15032667813
14:00:00,5560.78128216825
15:00:00,6927.38286262722
16:00:00,4801.89292496158
17:00:00,5091.84650382579
18:00:00,6551.55669411251
19:00:00,5090.98200178285
20:00:00,7256.23556797217
21:00:00,4433.7028350838
22:00:00,4630.94165997158
