Local Time,Volume
23:00:00,7618.08517883443
00:00:00,7461.78420002655
01:00:00,7503.76753113408
02:00:00,6344.95057228252
03:00:00,7106.76924982423
04:00:00,9049.95949428992
05:00:00,8791.20499677546
06:00:00,7293.65175184498
07:00:00,7123.25566174614
08:00:00,7895.232354242
09:00:00,6898.48360135149
10:00:00,5944.12993078312
11:00:00,6626.58031081156
12:00:00,7911.09012715104
13:00:00,8226.78022423144
14:00:00,7019.72461725573
15:00:00,5324.61372265807
16:00:00,5897.68991242055
17:00:00,7667.98264750651
18:00:00,6452.28316888785
19:00:00,7129.20238595884
20:00:00,7795.97449945099
21:00:00,7157.62119049096
22:00:00,7390.90689383024
