Local Time,Volume
23:00:00,5631.85039797418
00:00:00,4062.73846098349
01:00:00,5260.31333592735
02:00:00,5496.28755659623
03:00:00,6140.010727169
04:00:00,6417.68629914973
05:00:00,5024.73794623499
06:00:00,6196.86367139074
07:00:00,4546.9939324758
08:00:00,3457.15501413548
09:00:00,6394.75727379078
10:00:00,5200.62152957573
11:00:00,5985.42416700415
12:00:00,6020.40696890112
13:00:00,6347.11689378466
14:00:00,6304.62418883323
15:00:00,5861.24267050123
16:00:00,6317.58552059419
17:00:00,4735.04170250848
18:00:00,7855.47745174518
19:00:00,4952.37934354338
20:00:00,6178.72803852834
21:00:00,4115.57404096964
22:00:00,5795.86733635323
