Local Time,Volume
23:00:00,9467.01325637615
00:00:00,8666.81763234866
01:00:00,7738.4105216425
02:00:00,10325.2025979223
03:00:00,8861.46626940996
04:00:00,8586.40537857376
05:00:00,7088.70258372682
06:00:00,5295.53692755082
07:00:00,6852.92026021188
08:00:00,6460.12407562701
09:00:00,8295.69839187697
10:00:00,6209.69093787004
11:00:00,6518.11295911582
12:00:00,7690.08942865305
13:00:00,6930.47176624205
14:00:00,9098.60531012463
15:00:00,7346.20764914258
16:00:00,8503.33925732567
17:00:00,7715.24331053497
18:00:00,7065.90001288145
19:00:00,7321.94105224774
20:00:00,7493.55068034192
21:00:00,6555.85146488429
22:00:00,6828.2886454036
